figure_id,panel_id,analytical_question,takeaway,input_path,input_sha256,source_commit,simulation_commit,analysis_commit,mesh,condition_family,solver_acceptance_rule,muscle_names_and_indices,phase_window,metric_formula,source_csv,plotting_script,pdf_path,svg_path,png_path,generated_at,qa_status
Fig1,whole,"Why manipulate touchdown pelvic tilt in one predictive model, not only observe?",Isolates the pelvis-load link from anatomy/kinematic confounds; chains primary/mechanism/extension.,n/a (schematic),n/a,e7b8de9,e7b8de9,e7b8de9,n/a,n/a,n/a,n/a,n/a,n/a (conceptual),n/a,scripts/Fig1_study_logic.py,figures/pdf/Fig1_study_logic.pdf,figures/svg/Fig1_study_logic.svg,figures/png/Fig1_study_logic.png,2026-08-19 17:08:52,auto-pass (20 checks) + visual-pass 2026-08-19
Fig2,A,Is speed held ~constant across achieved tilt?,Speed stays within +/-1% of Nominal across A=1.99-15.99 deg.,pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat;pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat;pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat;pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat;pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat;pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat;pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat;pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,see final_source_manifest.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide (ref -7.987 deg),strict Solve_Succeeded; min final inf_pr per requested offset,"semimem L6/R52, semiten L7/R53, bifemlh L8/R54, bifemsh L9/R55 (0-based)",whole stride (ave_speed),ave_speed vs A=-pelvis_tilt(deg),source_data/Fig2_primary_N100_source.csv,scripts/Fig2_primary_N100.py,figures/pdf/Fig2_primary_N100.pdf,figures/svg/Fig2_primary_N100.svg,figures/png/Fig2_primary_N100.png,2026-08-19 17:15:44,auto-pass (20 checks) + visual-pass 2026-08-19
Fig2,B,Does peak lMtilde rise with anterior tilt?,"Biarticular SM/ST/BFlh rise graded (b=+0.0037..0.0068/deg, R2 .95-.96); BFsh flat.",pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat;pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat;pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat;pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat;pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat;pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat;pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat;pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,see final_source_manifest.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide (ref -7.987 deg),strict Solve_Succeeded; min final inf_pr per requested offset,"semimem L6/R52, semiten L7/R53, bifemlh L8/R54, bifemsh L9/R55 (0-based)",full reconstructed stride (max),peak lMtilde=max_t lM/lMo; LS slope vs A,source_data/Fig2_primary_N100_source.csv,scripts/Fig2_primary_N100.py,figures/pdf/Fig2_primary_N100.pdf,figures/svg/Fig2_primary_N100.svg,figures/png/Fig2_primary_N100.png,2026-08-19 17:15:44,auto-pass (20 checks) + visual-pass 2026-08-19
Fig2,C,Robust to dropping one condition / to speed?,Slopes monotonic; LOO range narrow; speed-adjusted coef similar sign+magnitude.,pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat;pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat;pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat;pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat;pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat;pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat;pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat;pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,see final_source_manifest.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide (ref -7.987 deg),strict Solve_Succeeded; min final inf_pr per requested offset,"semimem L6/R52, semiten L7/R53, bifemlh L8/R54, bifemsh L9/R55 (0-based)",full stride,LS slope; LOO min-max; partial coef on A given speed,source_data/Fig2_primary_N100_source.csv,scripts/Fig2_primary_N100.py,figures/pdf/Fig2_primary_N100.pdf,figures/svg/Fig2_primary_N100.svg,figures/png/Fig2_primary_N100.png,2026-08-19 17:15:44,auto-pass (20 checks) + visual-pass 2026-08-19
Fig3,A-D,In which phase and how does the 1-stride peak lMtilde respond to anterior tilt?,"Biarticular lMtilde rises graded and peaks in terminal swing (~85-91%); BFsh flat, peaks early stance.",pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat;pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat;pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat;pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat;pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat;pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat;pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat;pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,see final_source_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide (ref -7.987 deg),strict Solve_Succeeded; min final inf_pr per requested offset,"semimem L6/R52, semiten L7/R53, bifemlh L8/R54, bifemsh L9/R55 (0-based)",full stride; TS shading = last 25% of swing (muscle-metric window),lMtilde=lM/lMo resampled to %stride; peak=max over full stride (native nodes),source_data/Fig3_lMtilde_waveforms_N100_source.csv,scripts/Fig3_lMtilde_waveforms_N100.py,figures/pdf/Fig3_lMtilde_waveforms_N100.pdf,figures/svg/Fig3_lMtilde_waveforms_N100.svg,figures/png/Fig3_lMtilde_waveforms_N100.png,2026-08-19 16:50:22,auto-pass (20 checks) + visual-pass 2026-08-19
Fig4,A,Does Nominal reproduce subject sprint kinematics?,Hip/knee/ankle match well; pelvis_tilt differs by a convention/posture offset (flagged).,Splined_100_meshInts_p02_maxVel_01.mot; pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot; pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat; pred_sprinting_acts_10-April-2026__16-29-40___Nominal.sto,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (Nominal) vs experimental IK,Nominal N=100 vs subject p02_maxVel_01 IK,Nominal strict Solve_Succeeded,activations semimem/semiten/bifemlh (_r),% step,phase-normalized overlay + RMSE/NRMSE/corr,source_data/Fig4_baseline_validation_source.csv ; source_data/Fig4_baseline_validation_metrics.csv,scripts/Fig4_baseline_validation.py,figures/pdf/Fig4_baseline_validation.pdf,figures/svg/Fig4_baseline_validation.svg,figures/png/Fig4_baseline_validation.png,2026-08-19 17:08:51,auto-pass (20 checks) + visual-pass 2026-08-19
Fig4,B,Is the GRF shape realistic?,Biphasic AP and unimodal vertical shape; peak magnitude inflated by contact model.,Splined_100_meshInts_p02_maxVel_01.mot; pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot; pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat; pred_sprinting_acts_10-April-2026__16-29-40___Nominal.sto,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (Nominal) vs experimental IK,Nominal N=100 vs subject p02_maxVel_01 IK,Nominal strict Solve_Succeeded,activations semimem/semiten/bifemlh (_r),"% step, contact shaded",GRFs.R/BW (simulation only),source_data/Fig4_baseline_validation_source.csv ; source_data/Fig4_baseline_validation_metrics.csv,scripts/Fig4_baseline_validation.py,figures/pdf/Fig4_baseline_validation.pdf,figures/svg/Fig4_baseline_validation.svg,figures/png/Fig4_baseline_validation.png,2026-08-19 17:08:51,auto-pass (20 checks) + visual-pass 2026-08-19
Fig4,C,Is hamstring activation timing plausible?,Late-swing/early-stance activation bursts; no subject EMG to compare against.,Splined_100_meshInts_p02_maxVel_01.mot; pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot; pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat; pred_sprinting_acts_10-April-2026__16-29-40___Nominal.sto,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (Nominal) vs experimental IK,Nominal N=100 vs subject p02_maxVel_01 IK,Nominal strict Solve_Succeeded,activations semimem/semiten/bifemlh (_r),% step,activation from Nominal acts.sto (simulation only),source_data/Fig4_baseline_validation_source.csv ; source_data/Fig4_baseline_validation_metrics.csv,scripts/Fig4_baseline_validation.py,figures/pdf/Fig4_baseline_validation.pdf,figures/svg/Fig4_baseline_validation.svg,figures/png/Fig4_baseline_validation.png,2026-08-19 17:08:51,auto-pass (20 checks) + visual-pass 2026-08-19
Fig4,D,What agreement metrics are computable?,Kinematic RMSE available; GRF/EMG error not available (no subject data).,Splined_100_meshInts_p02_maxVel_01.mot; pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot; pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat; pred_sprinting_acts_10-April-2026__16-29-40___Nominal.sto,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (Nominal) vs experimental IK,Nominal N=100 vs subject p02_maxVel_01 IK,Nominal strict Solve_Succeeded,activations semimem/semiten/bifemlh (_r),% step,RMSE/NRMSE/corr; unavailable marked,source_data/Fig4_baseline_validation_source.csv ; source_data/Fig4_baseline_validation_metrics.csv,scripts/Fig4_baseline_validation.py,figures/pdf/Fig4_baseline_validation.pdf,figures/svg/Fig4_baseline_validation.svg,figures/png/Fig4_baseline_validation.png,2026-08-19 17:08:51,auto-pass (20 checks) + visual-pass 2026-08-19
Fig5,A,What are the 3 boundary conditions?,tree-rigid co-rotates (hip preserved); femur-fixed holds femur; adaptive re-optimizes.,Scaled_FullBody_HamnerModel...osim; Nominal.mot; PelvisTDwide_m8.mot,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (adaptive) + geometric counterfactuals,Nominal N=100 vs PelvisTDwide_m8 (adaptive); tree-rigid/femur-fixed,adaptive strict Solve_Succeeded,semimem_l/semiten_l/bifemlh_l/bifemsh_l (OpenSim MTU),schematic,conceptual pelvis/femur/hip diagram,source_data/Fig5_mtu_waveforms_source.csv ; source_data/Fig5_mtu_peaks_source.csv,scripts/Fig5_compute_mtu.py (opencap) + scripts/Fig5_pelvis_femur_mechanism.py,figures/pdf/Fig5_pelvis_femur_mechanism.pdf,figures/svg/Fig5_pelvis_femur_mechanism.svg,figures/png/Fig5_pelvis_femur_mechanism.png,2026-08-19 17:08:48,auto-pass (20 checks) + visual-pass 2026-08-19
